iso_code,continent,location,last_updated_date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,reproduction_rate,icu_patients,icu_patients_per_million,hosp_patients,hosp_patients_per_million,weekly_icu_admissions,weekly_icu_admissions_per_million,weekly_hosp_admissions,weekly_hosp_admissions_per_million,new_tests,total_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,positive_rate,tests_per_case,tests_units,total_vaccinations,people_vaccinated,people_fully_vaccinated,total_boosters,new_vaccinations,new_vaccinations_smoothed,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,total_boosters_per_hundred,new_vaccinations_smoothed_per_million,stringency_index,population,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index,excess_mortality
IRN,Asia,Iran,2021-09-02,5055512.0,30279.0,31768.143,108988.0,595.0,610.286,59456.494,356.103,373.616,1281.778,6.998,7.177,0.82,,,,,,,,,108091.0,28892685.0,339.799,1.271,114157.0,1.343,0.305,3.3,tests performed,27057253.0,18611135.0,8446118.0,,881127.0,617850.0,31.82,21.89,9.93,,7266.0,59.72,85028760.0,49.831,32.4,5.44,3.182,19082.62,0.2,270.308,9.59,0.8,21.1,,1.5,76.68,0.783,
IRQ,Asia,Iraq,2021-09-02,1902407.0,6948.0,6660.857,20934.0,56.0,64.857,46198.081,168.725,161.752,508.362,1.36,1.575,0.91,,,,,,,,,44512.0,14168599.0,344.07,1.081,36534.0,0.887,0.181,5.5,samples tested,3504509.0,,,,,55157.0,8.51,,,,1339.0,75.93,41179351.0,88.125,20.0,3.186,1.957,15663.986,2.5,218.612,8.83,,,94.576,1.4,70.6,0.674,
IRL,Europe,Ireland,2021-09-02,352529.0,-1707.0,1190.571,5112.0,0.0,2.857,70747.701,-342.571,238.931,1025.908,0.0,0.573,0.98,,,347.0,69.638,15.056,3.021,212.788,42.704,14034.0,6672047.0,1338.988,2.816,19405.0,3.894,0.091,11.0,tests performed,6853648.0,3693405.0,3393006.0,,17526.0,21218.0,137.54,74.12,68.09,,4258.0,48.15,4982904.0,69.874,38.7,13.928,8.678,67335.293,0.2,126.459,3.28,23.0,25.7,,2.96,82.3,0.955,
IMN,Europe,Isle of Man,2021-09-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,127749.0,65120.0,62629.0,,160.0,134.0,149.57,76.24,73.33,,1569.0,,85410.0,147.872,,,,,,,,,,,,81.4,,
ISR,Asia,Israel,2021-09-02,1096881.0,13900.0,9801.429,7122.0,36.0,26.429,124790.552,1581.383,1115.094,810.26,4.096,3.007,1.03,208.0,23.664,1109.0,126.169,729.0,82.937,1434.0,163.144,151772.0,23202730.0,2639.741,17.267,134836.0,15.34,0.066,15.1,tests performed,13991186.0,6004310.0,5501329.0,2485547.0,116978.0,100932.0,159.18,68.31,62.59,28.28,11483.0,45.37,8789776.0,402.606,30.6,11.733,7.359,33132.32,0.5,93.32,6.74,15.4,35.4,,2.99,82.97,0.919,
ITA,Europe,Italy,2021-09-02,4553241.0,6754.0,6232.857,129352.0,62.0,56.429,75425.406,111.881,103.249,2142.743,1.027,0.935,1.02,525.0,8.697,4658.0,77.161,,,1488.906,24.664,223086.0,83618273.0,1385.154,3.695,230701.0,3.822,0.028,35.4,tests performed,78497024.0,42895410.0,37043986.0,,292280.0,278118.0,130.03,71.06,61.36,,4607.0,50.0,60367471.0,205.859,47.9,23.021,16.24,35220.084,2.0,113.151,4.78,19.8,27.8,,3.18,83.51,0.892,
JAM,North America,Jamaica,2021-09-02,69054.0,572.0,680.0,1568.0,19.0,16.429,23223.435,192.368,228.69,527.331,6.39,5.525,1.3,,,,,,,,,1508.0,546596.0,183.825,0.507,1822.0,0.613,0.422,2.4,samples tested,550010.0,409492.0,145171.0,,7122.0,7576.0,18.5,13.77,4.88,,2548.0,66.67,2973462.0,266.879,31.4,9.684,6.39,8193.571,,206.537,11.28,5.3,28.6,66.425,1.7,74.47,0.734,
JPN,Asia,Japan,2021-09-02,1529832.0,18310.0,19398.714,16216.0,65.0,56.571,12136.631,145.259,153.896,128.647,0.516,0.449,0.99,,,,,,,,,156779.0,20759237.0,164.689,1.244,135173.0,1.072,0.159,6.3,people tested,133058203.0,73464874.0,59593329.0,,1024372.0,1217674.0,105.56,58.28,47.28,,9660.0,52.31,126050796.0,347.778,48.2,27.049,18.493,39002.223,,79.37,5.72,11.2,33.7,,13.05,84.63,0.919,
JEY,Europe,Jersey,2021-08-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,148729.0,76256.0,72473.0,,,155.0,147.15,75.45,71.7,,1534.0,,101073.0,,,,,,,,,,,,,,,
JOR,Asia,Jordan,2021-09-02,798984.0,893.0,828.857,10442.0,20.0,13.143,77805.267,86.961,80.714,1016.845,1.948,1.28,0.99,,,,,,,,,31726.0,9123785.0,888.477,3.089,28477.0,2.773,0.029,34.3,tests performed,6452806.0,3486242.0,2966564.0,,29863.0,32767.0,62.84,33.95,28.89,,3191.0,57.41,10269022.0,109.285,23.2,3.81,2.361,8337.49,0.1,208.257,11.75,,,,1.4,74.53,0.729,
KAZ,Asia,Kazakhstan,2021-09-02,874209.0,5288.0,5353.286,13732.0,0.0,153.857,46023.213,278.39,281.827,722.929,0.0,8.1,0.9,,,,,,,,,,,,,,,,,,12212130.0,6709478.0,5502652.0,,103845.0,84651.0,64.29,35.32,28.97,,4456.0,57.41,18994958.0,6.681,30.6,6.991,4.625,24055.588,0.1,466.792,7.11,7.0,43.1,98.999,6.7,73.6,0.825,
KEN,Africa,Kenya,2021-09-02,237851.0,970.0,711.714,4746.0,7.0,15.857,4325.688,17.641,12.944,86.313,0.127,0.288,0.76,,,,,,,,,,,,,,,,,,2792309.0,1985905.0,806404.0,,19070.0,29521.0,5.08,3.61,1.47,,537.0,,54985702.0,87.324,20.0,2.686,1.528,2993.028,36.8,218.637,2.92,1.2,20.4,24.651,1.4,66.7,0.601,
KIR,Oceania,Kiribati,2021-09-02,2.0,0.0,0.0,,,0.0,16.476,0.0,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.5,121388.0,143.701,23.2,3.895,2.21,1981.132,,434.657,22.66,35.9,58.9,,1.9,68.37,0.63,
OWID_KOS,Europe,Kosovo,2021-09-02,148492.0,1612.0,1634.286,2557.0,32.0,24.286,76828.434,834.034,845.565,1322.969,16.557,12.565,1.49,,,,,,,,,12406.0,925052.0,478.614,6.419,11287.0,5.84,0.177,5.7,tests performed,808078.0,538766.0,269312.0,,13266.0,14326.0,41.81,27.88,13.93,,7412.0,32.41,1932774.0,168.155,,,,9795.834,0.6,,,,,,,,,
KWT,Asia,Kuwait,2021-09-02,410072.0,111.0,151.857,2421.0,1.0,1.0,94736.509,25.644,35.083,559.309,0.231,0.231,0.68,,,,,,,,,13264.0,3724132.0,860.364,3.064,11576.0,2.674,0.017,59.7,tests performed,,,,,,,,,,,,,4328553.0,232.128,33.7,2.345,1.114,65530.537,,132.235,15.84,2.7,37.0,,2.0,75.49,0.806,
KGZ,Asia,Kyrgyzstan,2021-09-02,176018.0,142.0,172.143,2536.0,4.0,4.714,26555.339,21.423,25.971,382.599,0.603,0.711,0.67,,,,,,,,,,,,,,,,,,1160073.0,692632.0,464550.0,,5710.0,10037.0,17.5,10.45,7.01,,1514.0,57.41,6628347.0,32.333,26.3,4.489,2.882,3393.474,1.4,436.362,7.11,3.6,50.5,89.22,4.5,71.45,0.697,
LAO,Asia,Laos,2021-09-02,15459.0,170.0,193.571,14.0,0.0,0.286,2094.898,23.037,26.231,1.897,0.0,0.039,0.87,,,,,,,,,8710.0,425260.0,57.628,1.18,,,,,people tested,3044669.0,2060418.0,1644691.0,,,49698.0,41.26,27.92,22.29,,6735.0,,7379358.0,29.715,24.4,4.029,2.322,6397.36,22.7,368.111,4.0,7.3,51.2,49.839,1.5,67.92,0.613,
LVA,Europe,Latvia,2021-09-02,143446.0,340.0,251.429,2580.0,1.0,1.286,76835.068,182.117,134.675,1381.945,0.536,0.689,1.29,,,121.0,64.812,29.359,15.726,137.01,73.388,33416.0,3339462.0,1788.741,17.899,14518.0,7.776,0.011,93.8,tests performed,1519488.0,865121.0,768038.0,,4266.0,4601.0,81.39,46.34,41.14,,2464.0,41.67,1866934.0,31.212,43.9,19.754,14.136,25063.846,0.7,350.06,4.91,25.6,51.0,,5.57,75.29,0.866,
LBN,Asia,Lebanon,2021-09-02,604409.0,1121.0,1079.286,8070.0,9.0,5.571,89288.745,165.604,159.442,1192.173,1.33,0.823,0.97,,,,,,,,,,,,,,,,,,2479199.0,1378223.0,1100976.0,,3180.0,13343.0,36.62,20.36,16.26,,1971.0,,6769151.0,594.561,31.1,8.514,5.43,13367.565,,266.591,12.71,26.9,40.7,,2.9,78.93,0.744,
LSO,Africa,Lesotho,2021-09-02,14395.0,0.0,0.0,403.0,0.0,0.0,6667.232,0.0,0.0,186.655,0.0,0.0,0.53,,,,,,,,,,,,,,,,,,201795.0,71597.0,32181.0,,,14590.0,9.35,3.32,1.49,,6758.0,,2159067.0,73.562,22.2,4.506,2.647,2851.153,59.6,405.126,3.94,0.4,53.9,2.117,,54.33,0.527,
LBR,Africa,Liberia,2021-09-02,5594.0,0.0,8.0,245.0,0.0,0.0,1079.879,0.0,1.544,47.295,0.0,0.0,0.55,,,,,,,,,,,,,,,,,,113680.0,104545.0,27392.0,,,793.0,2.19,2.02,0.53,,153.0,37.96,5180208.0,49.127,19.2,3.057,1.756,752.788,38.6,272.509,2.42,1.5,18.1,1.188,0.8,64.1,0.48,
LBY,Africa,Libya,2021-09-02,312116.0,1479.0,1419.857,4286.0,23.0,19.143,44853.675,212.545,204.045,615.934,3.305,2.751,0.85,,,,,,,,,6895.0,,,0.991,,,,,samples tested,1130485.0,1071946.0,58539.0,,8178.0,15372.0,16.25,15.4,0.84,,2209.0,,6958538.0,3.623,29.0,4.424,2.816,17881.509,,341.862,10.43,,,,3.7,72.91,0.724,
LIE,Europe,Liechtenstein,2021-09-02,3289.0,11.0,5.571,59.0,0.0,0.0,85977.937,287.552,145.643,1542.322,0.0,0.0,0.93,,,,,,,,,121.0,61420.0,1605.584,3.163,163.0,4.261,0.037,27.0,tests performed,43139.0,22920.0,20483.0,,0.0,62.0,112.77,59.92,53.54,,1621.0,,38254.0,237.012,,,,,,,7.77,,,,2.397,82.49,0.919,
LTU,Europe,Lithuania,2021-09-02,300339.0,807.0,606.143,4579.0,10.0,9.429,111655.914,300.015,225.343,1702.318,3.718,3.505,1.09,,,502.0,186.627,38.508,14.316,203.129,75.517,5495.0,4588314.0,1705.78,2.043,12896.0,4.794,0.05,20.0,tests performed,3179096.0,1664246.0,1514850.0,,10993.0,11542.0,118.19,61.87,56.32,,4291.0,25.0,2689862.0,45.135,43.5,19.002,13.778,29524.265,0.7,342.989,3.67,21.3,38.0,,6.56,75.93,0.882,
LUX,Europe,Luxembourg,2021-09-02,75981.0,77.0,77.0,830.0,0.0,0.0,119690.177,121.295,121.295,1307.47,0.0,0.0,1.18,6.0,9.452,25.0,39.382,,,20.278,31.943,3452.0,3412853.0,5376.146,5.438,3928.0,6.188,0.019,51.7,tests performed,764330.0,407669.0,356661.0,,995.0,1151.0,120.4,64.22,56.18,,1813.0,37.96,634814.0,231.447,39.7,14.312,9.842,94277.965,0.2,128.275,4.42,20.9,26.0,,4.51,82.25,0.916,
MAC,Asia,Macao,2021-09-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,603152.0,327783.0,277313.0,,,1972.0,91.61,49.79,42.12,,2995.0,,658391.0,20546.766,39.2,9.798,4.991,104861.851,,,,,,,,84.24,,
MDG,Africa,Madagascar,2021-09-02,42873.0,0.0,2.714,956.0,0.0,0.143,1508.161,0.0,0.095,33.63,0.0,0.005,0.67,,,,,,,,,219.0,237617.0,8.359,0.008,500.0,0.018,0.01,102.9,tests performed,,,,,,,,,,,,42.59,28427333.0,43.951,19.6,2.929,1.686,1416.44,77.6,405.994,3.94,,,50.54,0.2,67.04,0.528,
MWI,Africa,Malawi,2021-09-02,60663.0,80.0,81.857,2195.0,10.0,9.429,3087.54,4.072,4.166,111.718,0.509,0.48,0.62,,,,,,,,,,,,,,,,,,901197.0,688002.0,426390.0,,6865.0,7053.0,4.59,3.5,2.17,,359.0,42.59,19647681.0,197.519,18.1,2.979,1.783,1095.042,71.4,227.349,3.94,4.4,24.7,8.704,1.3,64.26,0.483,
MYS,Asia,Malaysia,2021-09-02,1786004.0,20988.0,20737.286,17191.0,249.0,282.857,54490.889,640.343,632.694,524.497,7.597,8.63,1.04,,,,,,,,,161322.0,25530515.0,778.935,4.922,156118.0,4.763,0.137,7.3,people tested,35519754.0,20116694.0,15429300.0,,369280.0,340288.0,108.37,61.38,47.07,,10382.0,,32776195.0,96.254,29.9,6.293,3.407,26808.164,0.1,260.942,16.74,1.0,42.4,,1.9,76.16,0.81,
MDV,Asia,Maldives,2021-09-02,81474.0,173.0,148.286,226.0,0.0,0.143,149873.073,318.237,272.775,415.732,0.0,0.263,1.09,,,,,,,,,5681.0,1350321.0,2483.943,10.45,5743.0,10.564,0.019,51.7,samples tested,686956.0,384444.0,302512.0,,1154.0,1021.0,126.37,70.72,55.65,,1878.0,,543620.0,1454.433,30.6,4.12,2.875,15183.616,,164.905,9.19,2.1,55.0,95.803,,78.92,0.74,
MLI,Africa,Mali,2021-09-02,14909.0,14.0,15.143,539.0,0.0,0.286,714.864,0.671,0.726,25.844,0.0,0.014,1.33,,,,,,,,,,,,,,,,,,317060.0,230583.0,86477.0,,,3768.0,1.52,1.11,0.41,,181.0,48.15,20855724.0,15.196,16.4,2.519,1.486,2014.306,,268.024,2.42,1.6,23.0,52.232,0.1,59.31,0.434,
MLT,Europe,Malta,2021-09-02,36322.0,75.0,53.143,441.0,0.0,0.429,70587.915,145.754,103.277,857.036,0.0,0.833,0.89,,,,,2.0,3.887,18.0,34.981,3264.0,1174898.0,2283.288,6.343,3143.0,6.108,0.016,63.2,tests performed,797562.0,414285.0,413041.0,,545.0,433.0,155.0,80.51,80.27,,841.0,43.52,514564.0,1454.037,42.4,19.426,11.324,36513.323,0.2,168.711,8.83,20.9,30.2,,4.485,82.53,0.895,
MHL,Oceania,Marshall Islands,2021-09-02,4.0,0.0,0.0,,,0.0,67.094,0.0,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,59618.0,295.15,,,,3819.202,,557.793,30.53,,,82.502,2.7,73.7,0.704,
MRT,Africa,Mauritania,2021-09-02,33869.0,144.0,164.0,724.0,7.0,4.429,7092.821,30.156,34.345,151.62,1.466,0.927,0.82,,,,,,,,,,,,,,,,,,265877.0,243757.0,22120.0,,,1302.0,5.57,5.1,0.46,,273.0,,4775110.0,4.289,20.3,3.138,1.792,3597.633,6.0,232.347,2.42,,,15.95,,64.92,0.546,
MUS,Africa,Mauritius,2021-09-02,10676.0,0.0,287.0,31.0,0.0,0.571,8383.67,0.0,225.376,24.344,0.0,0.449,1.48,,,,,,,,,,,,,,,,,,1564974.0,816020.0,748954.0,,,9782.0,122.89,64.08,58.81,,7682.0,49.07,1273428.0,622.962,37.4,10.945,5.884,20292.745,0.5,224.644,22.02,3.2,40.7,,3.4,74.99,0.804,
MEX,North America,Mexico,2021-09-02,3387885.0,18138.0,13732.0,261496.0,993.0,744.143,26008.193,139.242,105.418,2007.458,7.623,5.713,0.97,,,,,,,,,3161.0,9236915.0,70.91,0.024,26374.0,0.202,0.404,2.5,people tested,85845792.0,58238589.0,34656277.0,,470311.0,452439.0,65.9,44.71,26.61,,3473.0,67.13,130262220.0,66.444,29.3,6.857,4.321,17336.469,2.5,152.783,13.06,6.9,21.4,87.847,1.38,75.05,0.779,
FSM,Oceania,Micronesia (country),2021-09-02,1.0,0.0,0.0,,,0.0,8.602,0.0,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,116255.0,150.777,23.0,4.81,2.392,3299.464,16.0,454.343,12.02,,,,,67.88,0.62,
MDA,Europe,Moldova,2021-09-02,268892.0,787.0,368.286,6411.0,5.0,3.857,66821.652,195.575,91.522,1593.181,1.243,0.959,0.96,,,,,,,,,,1561423.0,388.025,,4666.0,1.16,0.075,13.3,tests performed,1289764.0,,695850.0,,5602.0,5677.0,32.05,,17.29,,1411.0,,4024025.0,123.655,37.6,10.864,6.955,5189.972,0.2,408.502,5.72,5.9,44.6,86.979,5.8,71.9,0.75,
MCO,Europe,Monaco,2021-09-02,3220.0,9.0,7.143,33.0,0.0,0.0,81477.733,227.733,180.74,835.02,0.0,0.0,0.84,,,,,,,,,,,,,,,,,,47882.0,25930.0,21952.0,,,224.0,121.16,65.61,55.55,,5668.0,37.04,39520.0,19347.5,,,,,,,5.46,,,,13.8,86.75,,
MNG,Asia,Mongolia,2021-09-02,221351.0,3805.0,2800.714,948.0,4.0,4.143,66486.107,1142.889,841.237,284.746,1.201,1.244,1.19,,,,,,,,,5817.0,3715089.0,1115.883,1.747,,,,,samples tested,4340885.0,2241087.0,2099798.0,,3394.0,4238.0,130.39,67.31,63.07,,1273.0,59.26,3329282.0,1.98,28.6,4.031,2.421,11840.846,0.5,460.043,4.82,5.5,46.5,71.18,7.0,69.87,0.737,
MNE,Europe,Montenegro,2021-09-02,116533.0,577.0,576.143,1733.0,1.0,4.143,185547.034,918.715,917.35,2759.33,1.592,6.596,1.08,,,,,,,,,,,,,,,,,,398819.0,212520.0,186299.0,,2436.0,2149.0,63.5,33.84,29.66,,3422.0,,628051.0,46.28,39.1,14.762,9.395,16409.288,1.0,387.305,10.08,44.0,47.9,,3.861,76.88,0.829,
MAR,Africa,Morocco,2021-09-02,872351.0,5383.0,5122.429,12819.0,70.0,91.857,23359.378,144.143,137.166,343.261,1.874,2.46,0.83,,,,,,,,,37875.0,7964719.0,213.275,1.014,32735.0,0.877,0.196,5.1,people tested,34160942.0,18875138.0,15285804.0,,439239.0,359486.0,91.47,50.54,40.93,,9626.0,59.26,37344787.0,80.08,29.6,6.769,4.209,7485.013,1.0,419.146,7.14,0.8,47.1,,1.1,76.68,0.686,
MOZ,Africa,Mozambique,2021-09-02,147066.0,312.0,371.143,1871.0,5.0,6.571,4572.515,9.701,11.539,58.172,0.155,0.204,0.66,,,,,,,,,,,,,,,,,,2297842.0,1643520.0,654322.0,,,88850.0,7.14,5.11,2.03,,2762.0,48.15,32163045.0,37.728,17.7,3.158,1.87,1136.103,62.9,329.942,3.3,5.1,29.1,12.227,0.7,60.85,0.456,
MMR,Asia,Myanmar,2021-09-02,406099.0,3459.0,3226.429,15600.0,110.0,107.143,7409.753,63.114,58.87,284.64,2.007,1.955,0.99,,,,,,,,,12249.0,3471394.0,63.34,0.223,10918.0,0.199,0.232,4.3,samples tested,6253687.0,4456857.0,1796830.0,,,53994.0,11.41,8.13,3.28,,985.0,66.2,54806014.0,81.721,29.1,5.732,3.12,5591.597,6.4,202.104,4.61,6.3,35.2,79.287,0.9,67.13,0.583,
NAM,Africa,Namibia,2021-09-02,125206.0,70.0,133.0,3394.0,8.0,4.714,48391.71,27.055,51.404,1311.77,3.092,1.822,0.82,,,,,,,,,1820.0,652869.0,252.332,0.703,1585.0,0.613,0.108,9.3,samples tested,329062.0,213438.0,115624.0,,,3425.0,12.72,8.25,4.47,,1324.0,44.44,2587344.0,3.078,22.0,3.552,2.085,9541.808,13.4,243.811,3.94,9.7,34.2,44.6,,63.71,0.646,
NRU,Oceania,Nauru,2021-08-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14790.0,7612.0,7178.0,,,10.0,136.03,70.01,66.02,,920.0,,10873.0,682.45,,,,12895.635,,,24.07,43.0,36.9,,5.0,59.96,,
NPL,Asia,Nepal,2021-09-02,765914.0,1619.0,1571.286,10786.0,16.0,21.143,25810.145,54.558,52.95,363.472,0.539,0.712,0.85,,,,,,,,,9702.0,3868717.0,130.37,0.327,9386.0,0.316,0.193,5.2,tests performed,10103864.0,5425888.0,4677976.0,,11700.0,166777.0,34.05,18.28,15.76,,5620.0,70.37,29674920.0,204.43,25.0,5.809,3.212,2442.804,15.0,260.797,7.26,9.5,37.8,47.782,0.3,70.78,0.602,
NLD,Europe,Netherlands,2021-09-02,1982328.0,2907.0,2642.143,18385.0,12.0,9.143,115432.199,169.276,153.854,1070.57,0.699,0.532,0.97,224.0,13.044,418.0,24.34,95.693,5.572,409.41,23.84,,12493403.0,727.499,,17158.0,0.999,0.08,12.5,people tested,21955854.0,11986790.0,10757470.0,,,19283.0,127.85,69.8,62.64,,1123.0,41.67,17173094.0,508.544,43.2,18.779,11.881,48472.545,,109.361,5.29,24.4,27.3,,3.32,82.28,0.944,
NCL,Oceania,New Caledonia,2021-08-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,144974.0,77705.0,67269.0,,,850.0,50.3,26.96,23.34,,2949.0,,288217.0,15.342,33.4,9.954,6.489,,,,23.36,,,,,77.55,,
NZL,Oceania,New Zealand,2021-09-02,3730.0,84.0,61.714,26.0,0.0,0.0,767.388,17.282,12.697,5.349,0.0,0.0,1.83,,,,,,,,,16755.0,2984428.0,613.999,3.447,30573.0,6.29,0.002,566.9,tests performed,3684599.0,2419970.0,1264629.0,,84971.0,80346.0,75.8,49.79,26.02,,16530.0,96.3,4860642.0,18.206,37.9,15.322,9.72,36085.843,,128.797,8.08,14.8,17.2,,2.61,82.29,0.931,
NIC,North America,Nicaragua,2021-09-02,11735.0,0.0,81.143,200.0,0.0,0.143,1750.871,0.0,12.107,29.84,0.0,0.021,0.02,,,,,,,,,,,,,,,,,,645733.0,443053.0,202680.0,,,4705.0,9.63,6.61,3.02,,702.0,2.78,6702379.0,51.667,27.3,5.445,3.519,5321.444,3.2,137.016,11.47,,,,0.9,74.48,0.66,
NER,Africa,Niger,2021-09-02,5863.0,6.0,6.143,199.0,0.0,0.143,233.299,0.239,0.244,7.919,0.0,0.006,1.17,,,,,,,,,,,,,,,,,,491738.0,404246.0,87492.0,,,357.0,1.96,1.61,0.35,,14.0,19.44,25130810.0,16.955,15.1,2.553,1.378,926.0,44.5,238.339,2.42,0.1,15.4,8.978,0.3,62.42,0.394,
NGA,Africa,Nigeria,2021-09-02,193644.0,631.0,561.286,2488.0,8.0,27.143,916.005,2.985,2.655,11.769,0.038,0.128,1.08,,,,,,,,,,2779725.0,13.149,,9298.0,0.044,0.066,15.1,samples tested,4432282.0,2994933.0,1437349.0,,,42162.0,2.1,1.42,0.68,,199.0,43.52,211400704.0,209.588,18.1,2.751,1.447,5338.454,,181.013,2.42,0.6,10.8,41.949,,54.69,0.539,
OWID_NAM,,North America,2021-09-02,47518408.0,193141.0,199904.286,982988.0,2915.0,2440.143,79651.188,323.746,335.083,1647.702,4.886,4.09,,,,,,,,,,,,,,,,,,,564582467.0,321432063.0,253639638.0,690591.0,1178687.0,1796483.0,94.64,53.88,42.52,0.12,3011.0,,596581283.0,,,,,,,,,,,,,,,
MKD,Europe,North Macedonia,2021-09-02,178159.0,760.0,786.0,5987.0,23.0,29.286,85543.927,364.918,377.402,2874.688,11.044,14.062,1.08,,,,,,,,,,1151716.0,553.002,,7132.0,3.424,0.129,7.8,tests performed,1267666.0,728629.0,539037.0,,14054.0,10635.0,60.87,34.99,25.88,,5106.0,,2082661.0,82.6,39.1,13.26,8.16,13111.214,5.0,322.688,10.08,,,,4.28,75.8,0.774,
NOR,Europe,Norway,2021-09-02,163364.0,1550.0,1404.286,822.0,0.0,1.143,29889.332,283.59,256.93,150.394,0.0,0.209,1.45,,,60.0,10.978,9.164,1.677,59.059,10.806,13691.0,7071838.0,1293.875,2.505,25183.0,4.608,0.046,21.8,people tested,7047891.0,3882213.0,3165678.0,,89174.0,59049.0,128.95,71.03,57.92,,10804.0,38.89,5465629.0,14.462,39.7,16.821,10.813,64800.057,0.2,114.316,5.31,19.6,20.7,,3.6,82.4,0.957,
OWID_OCE,,Oceania,2021-09-02,127156.0,1982.0,1714.286,1756.0,14.0,11.143,2942.067,45.858,39.664,40.629,0.324,0.258,,,,,,,,,,,,,,,,,,,25305289.0,16061825.0,9242274.0,,513181.0,358185.0,58.55,37.16,21.38,,8287.0,,43219954.0,,,,,,,,,,,,,,,
OMN,Asia,Oman,2021-09-02,302466.0,73.0,97.429,4070.0,2.0,3.0,57906.228,13.976,18.652,779.19,0.383,0.574,0.74,,,,,,,,,,,,,,,,,,3752420.0,2504214.0,1048206.0,,,53223.0,71.84,47.94,20.07,,10189.0,67.59,5223376.0,14.98,30.7,2.355,1.53,37960.709,,266.342,12.61,0.5,15.6,97.4,1.6,77.86,0.813,
PAK,Asia,Pakistan,2021-09-02,1171578.0,3821.0,3891.0,26035.0,57.0,88.571,5202.391,16.967,17.278,115.608,0.253,0.393,0.99,,,,,,,,,56279.0,17704220.0,78.616,0.25,61110.0,0.271,0.067,15.0,tests performed,59384758.0,45498115.0,18512319.0,,1228044.0,1199939.0,26.37,20.2,8.22,,5328.0,62.96,225199929.0,255.573,23.5,4.495,2.78,5034.708,4.0,423.031,8.35,2.8,36.7,59.607,0.6,67.27,0.557,
PLW,Oceania,Palau,2021-09-02,2.0,0.0,0.0,,,0.0,110.047,0.0,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18174.0,47.237,,,,13240.405,,,15.89,7.7,22.7,,4.8,73.7,0.826,
PSE,Asia,Palestine,2021-09-02,347730.0,2773.0,2160.143,3699.0,11.0,6.0,66579.79,530.946,413.602,708.247,2.106,1.149,1.77,,,,,,,,,9709.0,,,1.859,7468.0,1.43,0.173,5.8,tests performed,1392299.0,935756.0,456543.0,,51410.0,31776.0,26.66,17.92,8.74,,6084.0,,5222756.0,778.202,20.4,3.043,1.726,4449.898,1.0,265.91,10.59,,,,,74.05,0.708,
PAN,North America,Panama,2021-09-02,458638.0,481.0,537.143,7069.0,3.0,5.429,104674.041,109.778,122.591,1613.344,0.685,1.239,0.87,,,,,,,,,10247.0,3620041.0,826.195,2.339,9475.0,2.162,0.069,14.5,tests performed,4466517.0,2759060.0,1707457.0,,63434.0,34314.0,101.94,62.97,38.97,,7831.0,67.59,4381583.0,55.133,29.7,7.918,5.03,22267.037,2.2,128.346,8.33,2.4,9.9,,2.3,78.51,0.815,
PNG,Oceania,Papua New Guinea,2021-09-02,17926.0,0.0,12.571,192.0,0.0,0.0,1965.785,0.0,1.379,21.055,0.0,0.0,0.41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.07,9119005.0,18.22,22.6,3.808,2.142,3823.194,,561.494,17.65,23.5,48.8,,,64.5,0.555,
PRY,South America,Paraguay,2021-09-02,458716.0,102.0,72.714,15821.0,36.0,24.0,63537.231,14.128,10.072,2191.383,4.986,3.324,0.64,,,,,,,,,3096.0,1761311.0,243.961,0.429,3113.0,0.431,0.039,25.4,tests performed,3928259.0,2266494.0,1661765.0,,,20500.0,54.41,31.39,23.02,,2839.0,49.07,7219641.0,17.144,26.5,6.378,3.833,8827.01,1.7,199.128,8.27,5.0,21.6,79.602,1.3,74.25,0.728,
PER,South America,Peru,2021-09-02,2152118.0,2112.0,849.857,198364.0,69.0,42.857,64513.062,63.31,25.476,5946.267,2.068,1.285,0.9,,,,,,,,,,,,,,,,,,18819209.0,10541607.0,8277602.0,,1533.0,107696.0,56.41,31.6,24.81,,3228.0,67.59,33359415.0,25.129,29.1,7.151,4.455,12236.706,3.5,85.755,5.95,4.8,,,1.6,76.74,0.777,32.41
